Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
149,/education/educational_institution_campus/educational_institution,57,342,1-1,1.0,1.0,1.0,1.0,1.0
150,/sports/sports_team/league./sports/sports_league_participation/league,14,161,M-1,1.0,1.0,1.0,1.0,1.0
151,/american_football/football_team/current_roster./american_football/football_roster_position/position,52,348,M-N,5.423076923076923,0.6617050904494065,0.5865384615384616,0.6923076923076923,0.8461538461538461
152,/location/location/events,39,347,M-N,1.0256410256410255,0.9871794871794872,0.9743589743589743,1.0,1.0
153,/people/person/religion,120,361,M-1,1414.2375,0.36934995651245117,0.3375,0.375,0.425
154,/organization/organization/headquarters./location/mailing_address/citytown,85,359,M-1,818.0235294117647,0.430860496969784,0.40588235294117647,0.43529411764705883,0.4823529411764706
155,/film/music_contributor/film,117,346,1-N,847.2735042735043,0.5132189041528946,0.4658119658119658,0.5384615384615384,0.6068376068376068
156,/music/performance_role/track_performances./music/track_contribution/contributor,197,349,M-N,101.20812182741116,0.3123639489188412,0.24111675126903553,0.3299492385786802,0.46954314720812185
157,/film/film/produced_by,129,348,M-1,637.8488372093024,0.48602578806322677,0.42248062015503873,0.5271317829457365,0.6007751937984496
159,/architecture/museum/address./location/mailing_address/citytown,1,7,1-1,1.0,1.0,1.0,1.0,1.0
160,/film/film_location/featured_in_films,120,357,1-N,807.2041666666667,0.517113208770752,0.4791666666666667,0.5416666666666666,0.5708333333333333
161,/organization/organization/founders,19,139,1-1,1.263157894736842,0.9502923865067331,0.9210526315789473,0.9736842105263158,1.0
162,/tv/special_tv_performance_type/starring_performances./tv/regular_tv_appearance/actor,9,76,1-N,1.1666666666666667,0.9351852205064561,0.8888888888888888,1.0,1.0
164,/award/award_winner/awards_won./award/award_honor/award,589,359,M-1,1908.1833616298811,0.1250152587890625,0.09592529711375213,0.13157894736842105,0.17572156196943972
165,/music/artist/label,221,363,M-1,501.5180995475113,0.2655286486871642,0.21945701357466063,0.2692307692307692,0.3506787330316742
166,/medicine/notable_person_with_medical_condition/condition,22,120,M-1,1.0909090909090908,0.9696969985961914,0.9545454545454546,1.0,1.0
167,/film/producer/film,126,355,1-N,472.9761904761905,0.5121188088068886,0.44841269841269843,0.5476190476190477,0.6309523809523809
168,/people/person/spouse_s./people/marriage/type_of_union,299,353,M-1,1155.9498327759197,0.4385507641029996,0.4013377926421405,0.46321070234113715,0.49331103678929766
169,/film/film/production_companies,191,359,M-1,269.5366492146597,0.4238314403913408,0.36387434554973824,0.44502617801047123,0.5287958115183246
170,/location/country/second_level_divisions,50,353,1-N,13.12,0.8392079162597657,0.83,0.83,0.87
171,/sports/sports_team/roster./soccer/football_roster_position/position,249,352,M-1,313.56827309236945,0.38285181129792606,0.25903614457831325,0.4939759036144578,0.5742971887550201
172,/film/film/directed_by,74,340,M-1,260.60135135135135,0.6582964819830817,0.6013513513513513,0.6891891891891891,0.7702702702702703
173,/sports/pro_athlete/teams./soccer/football_roster_position/team,56,363,M-N,1.3571428571428572,0.8924957684108189,0.8303571428571429,0.9642857142857143,1.0
174,/food/ingredient/compatible_with_dietary_restrictions,9,44,M-N,1.0,1.0,1.0,1.0,1.0
175,/language/human_language/main_country,3,63,1-1,1.0,1.0,1.0,1.0,1.0
176,/sports/sports_team/location,39,338,1-1,45.17948717948718,0.9497787279960437,0.9487179487179487,0.9487179487179487,0.9487179487179487
177,/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency,47,355,M-1,3.648936170212766,0.9131029818920379,0.9042553191489362,0.9148936170212766,0.9148936170212766
178,/base/culturalevent/event/entity_involved,25,279,M-N,3.14,0.9360332489013672,0.92,0.94,0.96
179,/film/film_festival_event/films,29,252,1-N,35.775862068965516,0.9656504269303947,0.9655172413793104,0.9655172413793104,0.9655172413793104
180,/base/newsevents/news_reported_event/news_report_s./base/newsevents/news_report/news_reporting_organisation,3,10,1-1,2.5,0.7277777194976807,0.6666666666666666,0.6666666666666666,1.0
181,/education/educational_degree/people_with_this_degree./education/education/institution,251,356,1-N,168.398406374502,0.2894684688978461,0.21115537848605578,0.2968127490039841,0.5039840637450199
182,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,31,283,M-1,1.0806451612903225,0.9771505171252836,0.967741935483871,0.9838709677419355,1.0
183,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,9,121,M-1,1.0,1.0,1.0,1.0,1.0
184,/film/film/distributors./film/film_film_distributor_relationship/distributor,231,362,M-1,381.23809523809524,0.3269980624640659,0.2748917748917749,0.3398268398268398,0.44155844155844154
185,/sports/sport/teams,57,366,1-N,66.67543859649123,0.9152053699158785,0.9122807017543859,0.9122807017543859,0.9210526315789473
186,/music/performance_role/regular_performances./music/group_membership/group,146,355,M-N,49.92123287671233,0.40530369379749037,0.3253424657534247,0.4280821917808219,0.5582191780821918
187,/organization/organization/phone_number./common/phone_number/service_location,9,86,M-1,3.2222222222222223,0.9457995096842448,0.9444444444444444,0.9444444444444444,0.9444444444444444
