Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
440,/people/cause_of_death/parent_cause_of_death,3,33,M-1,4.333333333333333,0.7098038991292318,0.6666666666666666,0.6666666666666666,0.8333333333333334
441,/finance/currency/countries_used,7,44,1-N,5.142857142857143,0.6345238004411969,0.5714285714285714,0.5714285714285714,0.9285714285714286
442,/film/film/film_festivals,25,249,M-1,5.16,0.5705705261230469,0.44,0.62,0.82
443,/government/government_office_or_title/office_holders./government/government_position_held/office_holder,7,66,1-N,4.142857142857143,0.6201840128217425,0.5,0.7142857142857143,0.8571428571428571
444,/people/person/spouse_s./people/marriage/spouse,46,357,1-1,1.0978260869565217,0.9510869565217391,0.9021739130434783,1.0,1.0
445,/film/film/runtime./film/film_cut/film_release_region,23,186,M-1,10.934782608695652,0.597465473672618,0.5,0.6086956521739131,0.782608695652174
446,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,40,308,1-1,82.1875,0.9750110626220703,0.975,0.975,0.975
447,/user/coco/science/concepts_theories/parent_concept,1,11,M-1,1.5,0.75,0.5,1.0,1.0
448,/government/governmental_jurisdiction/governing_officials./government/government_position_held/governmental_body,2,22,1-N,1.0,1.0,1.0,1.0,1.0
449,/broadcast/artist/content,11,100,M-1,9.954545454545455,0.5718308795582164,0.4090909090909091,0.7272727272727273,0.8181818181818182
450,/basketball/basketball_team/historical_roster./sports/sports_team_roster/player,5,31,M-1,1.2,0.9333333015441895,0.9,1.0,1.0
451,/olympics/olympic_medal/medal_winners./olympics/olympic_medal_honor/olympics,9,98,M-N,11.944444444444445,0.30867555406358504,0.1111111111111111,0.5,0.6111111111111112
452,/military/military_person/participated_in_conflicts,7,71,M-1,8.857142857142858,0.5604497364589146,0.42857142857142855,0.6428571428571429,0.8571428571428571
453,/base/aareas/schema/administrative_area/administrative_area_type,22,153,M-1,44.25,0.5137116258794611,0.5,0.5,0.5227272727272727
454,/food/diet_follower/follows_diet,10,76,M-1,11.2,0.5517979145050049,0.5,0.55,0.6
456,/influence/influence_node/peers./influence/peer_relationship/peers,23,161,1-1,1.3478260869565217,0.8659420013427734,0.7608695652173914,0.9565217391304348,1.0
457,/government/governmental_body/members./government/government_position_held/legislative_sessions,14,99,M-N,16.892857142857142,0.3580265385763986,0.17857142857142858,0.5,0.5
458,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/athlete,8,33,1-N,3.0625,0.8100197911262512,0.75,0.875,0.875
459,/user/hangy/default_domain/sports_team_gender/gender,5,22,M-1,483.4,0.5250367164611817,0.5,0.5,0.6
460,/fictional_universe/fictional_character/species,1,4,1-1,1.0,1.0,1.0,1.0,1.0
